Airline,Source,Destination,Total_Stops,Price,dept_day,dept_month,dept_hour,dept_minute,arrival_day,arrival_month,arrival_hour,arrival_minute,duration_hours,duration_minutes,Route1,Route2,Route3,Route4,Route5
Jet Airways,S_Delhi,D_Cochin,2,10919,27,6,6,45,28,6,12,35,5,50,DEL,NAG,BOM,COK,Not Available
Air India,S_Delhi,D_Cochin,2,8603,6,6,12,0,6,6,19,15,7,15,DEL,JAI,BOM,COK,Not Available
Jet Airways,S_Kolkata,D_Bangalore,1,7064,1,4,6,30,1,4,18,15,11,45,CCU,BOM,BLR,Not Available,Not Available
SpiceJet,S_Mumbai,D_Hyderabad,0,2385,15,3,13,10,15,3,14,30,1,20,BOM,HYD,Not Available,Not Available,Not Available
Multiple carriers,S_Delhi,D_Cochin,1,6427,27,3,10,20,28,3,1,35,15,15,DEL,BOM,COK,Not Available,Not Available
Air India,S_Bangalore,D_New Delhi,2,6593,15,3,10,30,15,3,21,25,10,55,BLR,VGA,HYD,DEL,Not Available
Multiple carriers,S_Delhi,D_Cochin,1,6093,27,6,7,10,27,6,22,30,15,20,DEL,HYD,COK,Not Available,Not Available
SpiceJet,S_Kolkata,D_Bangalore,0,3841,3,5,17,10,3,5,19,40,2,30,CCU,BLR,Not Available,Not Available,Not Available
Jet Airways,S_Kolkata,D_Bangalore,1,8586,12,5,6,30,12,5,12,0,5,30,CCU,BOM,BLR,Not Available,Not Available
Jet Airways,S_Kolkata,D_Bangalore,1,13941,18,5,5,45,18,5,12,0,6,15,CCU,BOM,BLR,Not Available,Not Available
Vistara,S_Kolkata,D_Bangalore,1,7927,12,6,7,10,13,6,9,5,1,55,CCU,DEL,BLR,Not Available,Not Available
Jet Airways,S_Delhi,D_Cochin,1,12898,27,5,17,30,28,5,19,0,1,30,DEL,BOM,COK,Not Available,Not Available
Vistara,S_Kolkata,D_Bangalore,1,8452,15,5,17,0,16,5,10,45,17,45,CCU,DEL,BLR,Not Available,Not Available
Jet Airways,S_Delhi,D_Cochin,1,10262,24,6,21,50,25,6,19,0,21,10,DEL,BOM,COK,Not Available,Not Available
Jet Airways,S_Bangalore,D_New Delhi,1,13555,18,3,14,5,19,3,5,5,15,0,BLR,BOM,DEL,Not Available,Not Available
IndiGo,S_Delhi,D_Cochin,1,7060,9,3,2,0,9,3,7,45,5,45,DEL,BLR,COK,Not Available,Not Available
Vistara,S_Bangalore,D_Delhi,0,5403,21,4,11,30,21,4,14,20,2,50,BLR,DEL,Not Available,Not Available,Not Available
Air India,S_Kolkata,D_Bangalore,2,15532,15,5,9,25,16,5,13,45,4,20,CCU,BOM,COK,BLR,Not Available
SpiceJet,S_Bangalore,D_Delhi,0,4319,15,5,9,30,15,5,12,20,2,50,BLR,DEL,Not Available,Not Available,Not Available
Jet Airways,S_Kolkata,D_Bangalore,1,7064,12,5,10,20,12,5,17,35,7,15,CCU,GAU,BLR,Not Available,Not Available
Multiple carriers,S_Delhi,D_Cochin,1,7005,15,6,12,50,15,6,21,0,8,10,DEL,BOM,COK,Not Available,Not Available
Air Asia,S_Kolkata,D_Bangalore,1,5192,15,5,7,35,15,5,19,25,11,50,CCU,DEL,BLR,Not Available,Not Available
SpiceJet,S_Kolkata,D_Bangalore,0,3841,9,6,17,10,9,6,19,40,2,30,CCU,BLR,Not Available,Not Available,Not Available
Air India,S_Delhi,D_Cochin,2,10283,3,3,5,0,4,3,19,15,14,15,DEL,AMD,BOM,COK,Not Available
Vistara,S_Kolkata,D_Bangalore,1,13152,24,3,7,10,24,3,20,25,13,15,CCU,DEL,BLR,Not Available,Not Available
IndiGo,S_Kolkata,D_Bangalore,1,5170,6,6,15,15,6,6,20,30,5,15,CCU,HYD,BLR,Not Available,Not Available
GoAir,S_Kolkata,D_Bangalore,1,7335,18,5,23,30,19,5,7,45,8,15,CCU,BOM,BLR,Not Available,Not Available
IndiGo,S_Chennai,D_Kolkata,0,3597,15,6,19,35,15,6,21,55,2,20,MAA,CCU,Not Available,Not Available,Not Available
Air India,S_Delhi,D_Cochin,2,10467,27,5,13,15,28,5,9,25,20,10,DEL,HYD,MAA,COK,Not Available
Jet Airways,S_Delhi,D_Cochin,2,13014,9,6,5,30,9,6,19,0,13,30,DEL,JAI,BOM,COK,Not Available
IndiGo,S_Delhi,D_Cochin,1,10236,3,3,8,35,3,3,22,20,13,45,DEL,HYD,COK,Not Available,Not Available
Air India,S_Delhi,D_Cochin,2,9653,27,6,19,45,28,6,19,15,23,30,DEL,AMD,BOM,COK,Not Available
Jet Airways,S_Kolkata,D_Bangalore,1,11467,1,5,17,0,2,5,14,25,21,25,CCU,DEL,BLR,Not Available,Not Available
IndiGo,S_Kolkata,D_Bangalore,0,4174,15,4,9,35,15,4,12,20,2,45,CCU,BLR,Not Available,Not Available,Not Available
Jet Airways,S_Kolkata,D_Bangalore,1,14781,18,5,8,25,18,5,16,20,7,55,CCU,BOM,BLR,Not Available,Not Available
Air Asia,S_Bangalore,D_Delhi,0,3383,15,5,11,10,15,5,13,55,2,45,BLR,DEL,Not Available,Not Available,Not Available
SpiceJet,S_Delhi,D_Cochin,1,5158,6,6,8,45,6,6,13,15,4,30,DEL,PNQ,COK,Not Available,Not Available
Jet Airways,S_Kolkata,D_Bangalore,1,7757,6,5,18,55,7,5,16,20,21,25,CCU,BOM,BLR,Not Available,Not Available
Jet Airways,S_Bangalore,D_New Delhi,1,11087,12,3,20,35,13,3,15,15,18,40,BLR,BOM,DEL,Not Available,Not Available
Jet Airways,S_Mumbai,D_Hyderabad,0,5678,27,3,2,55,27,3,4,25,1,30,BOM,HYD,Not Available,Not Available,Not Available
Jet Airways,S_Mumbai,D_Hyderabad,0,8040,27,5,10,20,27,5,11,50,1,30,BOM,HYD,Not Available,Not Available,Not Available
Air Asia,S_Kolkata,D_Bangalore,0,4409,1,6,10,20,1,6,12,55,2,35,CCU,BLR,Not Available,Not Available,Not Available
Jet Airways,S_Bangalore,D_Delhi,0,7229,1,5,19,50,1,5,22,50,3,0,BLR,DEL,Not Available,Not Available,Not Available
IndiGo,S_Bangalore,D_Delhi,0,3943,24,6,23,30,25,6,2,20,2,50,BLR,DEL,Not Available,Not Available,Not Available
Jet Airways,S_Kolkata,D_Bangalore,1,14388,18,5,14,5,19,5,8,15,18,10,CCU,BOM,BLR,Not Available,Not Available
Multiple carriers,S_Delhi,D_Cochin,1,12717,1,6,9,0,1,6,19,0,10,0,DEL,BOM,COK,Not Available,Not Available
SpiceJet,S_Bangalore,D_Delhi,0,4885,15,6,9,30,15,6,12,20,2,50,BLR,DEL,Not Available,Not Available,Not Available
Multiple carriers,S_Delhi,D_Cochin,1,7933,1,6,13,0,1,6,21,0,8,0,DEL,BOM,COK,Not Available,Not Available
Air India,S_Kolkata,D_Bangalore,2,15292,24,3,13,55,25,3,23,15,9,20,CCU,IXB,DEL,BLR,Not Available
Air India,S_Delhi,D_Cochin,2,13307,15,5,18,45,16,5,19,15,0,30,DEL,JAI,BOM,COK,Not Available
IndiGo,S_Kolkata,D_Bangalore,1,11160,6,6,9,20,6,6,14,15,4,55,CCU,PAT,BLR,Not Available,Not Available
Jet Airways,S_Bangalore,D_New Delhi,1,12284,18,3,14,5,19,3,8,15,18,10,BLR,BOM,DEL,Not Available,Not Available
Jet Airways,S_Kolkata,D_Bangalore,1,7851,1,4,6,30,1,4,16,20,9,50,CCU,BOM,BLR,Not Available,Not Available
Jet Airways,S_Mumbai,D_Hyderabad,0,4995,3,6,10,20,3,6,11,50,1,30,BOM,HYD,Not Available,Not Available,Not Available
IndiGo,S_Chennai,D_Kolkata,0,7295,1,3,13,20,1,3,15,35,2,15,MAA,CCU,Not Available,Not Available,Not Available
Jet Airways,S_Delhi,D_Cochin,1,12373,9,5,13,0,9,5,19,0,6,0,DEL,BOM,COK,Not Available,Not Available
Jet Airways,S_Bangalore,D_New Delhi,1,12284,18,3,8,55,18,3,16,10,7,15,BLR,BOM,DEL,Not Available,Not Available
Air India,S_Delhi,D_Cochin,2,9443,24,6,19,45,25,6,19,15,23,30,DEL,AMD,BOM,COK,Not Available
Jet Airways,S_Kolkata,D_Bangalore,1,12121,24,5,9,35,25,5,14,25,4,50,CCU,DEL,BLR,Not Available,Not Available
Jet Airways,S_Delhi,D_Cochin,1,12898,21,5,19,45,22,5,19,0,23,15,DEL,BOM,COK,Not Available,Not Available
IndiGo,S_Delhi,D_Cochin,1,7006,21,5,18,35,22,5,1,30,6,55,DEL,BOM,COK,Not Available,Not Available
Air India,S_Delhi,D_Cochin,2,9863,1,6,16,40,2,6,19,15,2,35,DEL,AMD,BOM,COK,Not Available
Jet Airways,S_Bangalore,D_Delhi,0,4544,6,4,18,55,6,4,22,0,3,5,BLR,DEL,Not Available,Not Available,Not Available
Jet Airways,S_Delhi,D_Cochin,1,6017,27,3,2,15,27,3,18,50,16,35,DEL,BOM,COK,Not Available,Not Available
Jet Airways,S_Bangalore,D_New Delhi,1,12284,18,3,8,55,18,3,15,15,6,20,BLR,BOM,DEL,Not Available,Not Available
Jet Airways,S_Delhi,D_Cochin,2,13014,6,6,5,30,7,6,4,25,22,55,DEL,JAI,BOM,COK,Not Available
Multiple carriers,S_Delhi,D_Cochin,1,8937,1,6,6,40,1,6,19,15,12,35,DEL,BOM,COK,Not Available,Not Available
Air India,S_Chennai,D_Kolkata,0,4667,27,5,11,40,27,5,13,55,2,15,MAA,CCU,Not Available,Not Available,Not Available
Vistara,S_Kolkata,D_Bangalore,1,8820,6,6,17,0,7,6,20,20,3,20,CCU,DEL,BLR,Not Available,Not Available
Vistara,S_Kolkata,D_Bangalore,1,8452,21,5,7,10,21,5,22,40,15,30,CCU,DEL,BLR,Not Available,Not Available
SpiceJet,S_Delhi,D_Cochin,1,7947,15,5,15,45,15,5,22,5,6,20,DEL,MAA,COK,Not Available,Not Available
SpiceJet,S_Bangalore,D_Delhi,0,3919,3,4,21,10,4,4,0,5,2,55,BLR,DEL,Not Available,Not Available,Not Available
IndiGo,S_Delhi,D_Cochin,1,14871,3,3,4,45,3,3,13,20,8,35,DEL,BOM,COK,Not Available,Not Available
Vistara,S_Bangalore,D_Delhi,0,4668,18,6,11,30,18,6,14,20,2,50,BLR,DEL,Not Available,Not Available,Not Available
Multiple carriers,S_Delhi,D_Cochin,1,14848,3,6,10,0,3,6,19,15,9,15,DEL,BOM,COK,Not Available,Not Available
IndiGo,S_Bangalore,D_New Delhi,1,10509,15,3,19,35,16,3,0,35,5,0,BLR,BOM,DEL,Not Available,Not Available
Jet Airways,S_Bangalore,D_Delhi,0,7229,24,4,18,55,24,4,22,0,3,5,BLR,DEL,Not Available,Not Available,Not Available
Multiple carriers,S_Delhi,D_Cochin,1,9211,18,5,11,40,18,5,19,15,7,35,DEL,BOM,COK,Not Available,Not Available
Jet Airways,S_Bangalore,D_New Delhi,1,9134,15,3,8,55,15,3,18,25,9,30,BLR,BOM,DEL,Not Available,Not Available
SpiceJet,S_Kolkata,D_Bangalore,0,3841,6,6,22,20,7,6,0,40,2,20,CCU,BLR,Not Available,Not Available,Not Available
IndiGo,S_Bangalore,D_Delhi,0,5780,18,5,1,30,18,5,4,15,2,45,BLR,DEL,Not Available,Not Available,Not Available
Jet Airways,S_Kolkata,D_Bangalore,1,8586,9,5,6,30,10,5,4,40,22,10,CCU,BOM,BLR,Not Available,Not Available
Jet Airways,S_Delhi,D_Cochin,2,14300,12,6,12,15,13,6,12,35,0,20,DEL,ATQ,BOM,COK,Not Available
SpiceJet,S_Delhi,D_Cochin,1,5583,15,6,15,45,15,6,22,5,6,20,DEL,MAA,COK,Not Available,Not Available
Jet Airways,S_Bangalore,D_Delhi,0,7229,6,5,7,10,6,5,10,10,3,0,BLR,DEL,Not Available,Not Available,Not Available
Air India,S_Delhi,D_Cochin,2,9653,27,6,16,40,28,6,19,15,2,35,DEL,AMD,BOM,COK,Not Available
Jet Airways,S_Delhi,D_Cochin,1,15554,9,5,22,50,10,5,4,25,5,35,DEL,BOM,COK,Not Available,Not Available
Multiple carriers,S_Delhi,D_Cochin,1,11446,27,5,10,0,27,5,19,15,9,15,DEL,BOM,COK,Not Available,Not Available
GoAir,S_Kolkata,D_Bangalore,1,8855,12,5,16,40,13,5,0,15,7,35,CCU,AMD,BLR,Not Available,Not Available
Air India,S_Delhi,D_Cochin,1,7480,6,5,20,40,7,5,9,25,12,45,DEL,MAA,COK,Not Available,Not Available
Jet Airways,S_Bangalore,D_New Delhi,1,27992,1,3,7,0,1,3,20,20,13,20,BLR,BOM,DEL,Not Available,Not Available
Multiple carriers,S_Delhi,D_Cochin,1,7354,12,6,7,30,12,6,19,15,11,45,DEL,BOM,COK,Not Available,Not Available
Jet Airways,S_Delhi,D_Cochin,1,10262,24,6,17,30,25,6,19,0,1,30,DEL,BOM,COK,Not Available,Not Available
Multiple carriers,S_Delhi,D_Cochin,1,9001,15,5,11,40,15,5,19,15,7,35,DEL,BOM,COK,Not Available,Not Available
Jet Airways,S_Kolkata,D_Bangalore,1,12384,1,5,17,0,1,5,23,35,6,35,CCU,DEL,BLR,Not Available,Not Available
Jet Airways,S_Kolkata,D_Bangalore,1,13941,18,5,16,30,19,5,4,40,12,10,CCU,BOM,BLR,Not Available,Not Available
Jet Airways,S_Delhi,D_Cochin,1,12373,18,5,14,0,19,5,12,35,22,35,DEL,BOM,COK,Not Available,Not Available
Jet Airways,S_Kolkata,D_Bangalore,1,14178,9,6,18,55,10,6,4,40,9,45,CCU,BOM,BLR,Not Available,Not Available
Air India,S_Bangalore,D_New Delhi,1,6955,21,3,22,0,22,3,13,20,15,20,BLR,COK,DEL,Not Available,Not Available
IndiGo,S_Kolkata,D_Bangalore,0,4804,6,6,21,25,7,6,0,5,2,40,CCU,BLR,Not Available,Not Available,Not Available
Air India,S_Kolkata,D_Bangalore,2,8366,1,5,9,25,1,5,18,20,8,55,CCU,BOM,HBX,BLR,Not Available
Jet Airways,S_Bangalore,D_New Delhi,1,9134,15,3,5,45,15,3,10,45,5,0,BLR,BOM,DEL,Not Available,Not Available
Multiple carriers,S_Delhi,D_Cochin,1,7198,1,6,10,0,2,6,1,30,15,30,DEL,BOM,COK,Not Available,Not Available
Jet Airways,S_Kolkata,D_Bangalore,1,14388,1,5,14,5,2,5,12,0,21,55,CCU,BOM,BLR,Not Available,Not Available
IndiGo,S_Delhi,D_Cochin,1,6838,24,6,9,15,24,6,21,0,11,45,DEL,BOM,COK,Not Available,Not Available
Jet Airways,S_Delhi,D_Cochin,1,12373,18,5,2,15,18,5,19,0,16,45,DEL,BOM,COK,Not Available,Not Available
Multiple carriers,S_Delhi,D_Cochin,1,15078,9,5,15,0,10,5,1,30,10,30,DEL,BOM,COK,Not Available,Not Available
Multiple carriers,S_Delhi,D_Cochin,1,16108,15,6,7,5,15,6,19,15,12,10,DEL,BOM,COK,Not Available,Not Available
Vistara,S_Kolkata,D_Bangalore,1,8820,6,6,20,20,7,6,18,50,22,30,CCU,DEL,BLR,Not Available,Not Available
Jet Airways,S_Kolkata,D_Bangalore,1,10844,21,5,6,30,21,5,18,15,11,45,CCU,BOM,BLR,Not Available,Not Available
IndiGo,S_Bangalore,D_Delhi,0,4423,1,5,13,0,1,5,15,50,2,50,BLR,DEL,Not Available,Not Available,Not Available
Multiple carriers,S_Delhi,D_Cochin,1,11789,6,6,6,0,6,6,19,0,13,0,DEL,BOM,COK,Not Available,Not Available
Jet Airways,S_Kolkata,D_Bangalore,1,14388,6,5,20,0,7,5,12,0,16,0,CCU,BOM,BLR,Not Available,Not Available
Multiple carriers,S_Delhi,D_Cochin,1,13377,27,5,11,30,28,5,1,30,14,0,DEL,BOM,COK,Not Available,Not Available
Multiple carriers,S_Delhi,D_Cochin,1,12192,9,6,7,0,9,6,19,0,12,0,DEL,BOM,COK,Not Available,Not Available
IndiGo,S_Bangalore,D_Delhi,0,4423,1,5,6,5,1,5,8,50,2,45,BLR,DEL,Not Available,Not Available,Not Available
IndiGo,S_Delhi,D_Cochin,1,6818,6,6,5,5,6,6,16,10,11,5,DEL,HYD,COK,Not Available,Not Available
Air Asia,S_Bangalore,D_Delhi,0,8420,9,6,4,55,9,6,7,45,2,50,BLR,DEL,Not Available,Not Available,Not Available
Vistara,S_Mumbai,D_Hyderabad,1,12395,6,3,15,40,7,3,9,25,17,45,BOM,DEL,HYD,Not Available,Not Available
GoAir,S_Kolkata,D_Bangalore,1,6686,1,5,23,30,2,5,7,45,8,15,CCU,BOM,BLR,Not Available,Not Available
Air India,S_Bangalore,D_New Delhi,0,4441,18,3,10,0,18,3,12,45,2,45,BLR,DEL,Not Available,Not Available,Not Available
Multiple carriers,S_Delhi,D_Cochin,1,12192,1,6,8,0,1,6,19,0,11,0,DEL,BOM,COK,Not Available,Not Available
IndiGo,S_Mumbai,D_Hyderabad,0,4392,27,3,9,10,27,3,10,40,1,30,BOM,HYD,Not Available,Not Available,Not Available
Jet Airways,S_Delhi,D_Cochin,1,17024,3,3,17,30,4,3,4,25,10,55,DEL,BOM,COK,Not Available,Not Available
Jet Airways,S_Delhi,D_Cochin,1,14714,6,6,13,0,7,6,4,25,15,25,DEL,BOM,COK,Not Available,Not Available
Jet Airways,S_Bangalore,D_New Delhi,1,12284,18,3,8,0,18,3,13,15,5,15,BLR,BOM,DEL,Not Available,Not Available
Jet Airways,S_Mumbai,D_Hyderabad,0,4995,21,5,7,5,21,5,8,30,1,25,BOM,HYD,Not Available,Not Available,Not Available
Jet Airways,S_Kolkata,D_Bangalore,1,12384,6,5,9,35,6,5,19,10,9,35,CCU,DEL,BLR,Not Available,Not Available
Jet Airways,S_Delhi,D_Cochin,1,14714,1,6,10,0,1,6,19,0,9,0,DEL,BOM,COK,Not Available,Not Available
Air India,S_Kolkata,D_Bangalore,2,11774,24,3,9,25,25,3,5,35,20,10,CCU,BOM,GOI,BLR,Not Available
Air India,S_Kolkata,D_Bangalore,2,10991,6,5,5,50,6,5,20,25,14,35,CCU,IXR,DEL,BLR,Not Available
Multiple carriers,S_Delhi,D_Cochin,1,13377,24,6,11,30,25,6,1,30,14,0,DEL,BOM,COK,Not Available,Not Available
IndiGo,S_Chennai,D_Kolkata,0,3540,6,6,5,15,6,6,7,40,2,25,MAA,CCU,Not Available,Not Available,Not Available
IndiGo,S_Kolkata,D_Bangalore,0,4804,3,6,15,30,3,6,18,5,2,35,CCU,BLR,Not Available,Not Available,Not Available
Jet Airways,S_Delhi,D_Cochin,1,10262,27,6,10,0,27,6,19,0,9,0,DEL,BOM,COK,Not Available,Not Available
Multiple carriers,S_Delhi,D_Cochin,1,6305,27,3,4,0,27,3,13,20,9,20,DEL,BOM,COK,Not Available,Not Available
Jet Airways,S_Delhi,D_Cochin,1,15554,9,5,21,50,10,5,19,0,21,10,DEL,BOM,COK,Not Available,Not Available
IndiGo,S_Chennai,D_Kolkata,0,3597,27,5,14,45,27,5,17,5,2,20,MAA,CCU,Not Available,Not Available,Not Available
Jet Airways,S_Delhi,D_Cochin,1,10262,1,6,2,15,1,6,19,0,16,45,DEL,BOM,COK,Not Available,Not Available
Multiple carriers,S_Delhi,D_Cochin,1,15411,6,3,10,20,6,3,18,50,8,30,DEL,BOM,COK,Not Available,Not Available
Air India,S_Chennai,D_Kolkata,0,4667,15,6,11,40,15,6,13,55,2,15,MAA,CCU,Not Available,Not Available,Not Available
Air India,S_Kolkata,D_Bangalore,1,8366,6,6,16,50,7,6,11,10,18,20,CCU,BOM,BLR,Not Available,Not Available
Multiple carriers,S_Delhi,D_Cochin,1,8930,3,6,9,0,3,6,21,0,12,0,DEL,BOM,COK,Not Available,Not Available
IndiGo,S_Kolkata,D_Bangalore,1,7228,15,5,21,0,16,5,2,15,5,15,CCU,PNQ,BLR,Not Available,Not Available
Multiple carriers,S_Delhi,D_Cochin,1,15898,27,5,11,30,27,5,19,15,7,45,DEL,BOM,COK,Not Available,Not Available
Air India,S_Delhi,D_Cochin,1,9064,9,3,17,45,9,3,23,0,5,15,DEL,BLR,COK,Not Available,Not Available
Multiple carriers,S_Delhi,D_Cochin,1,7198,15,6,13,0,16,6,1,30,12,30,DEL,BOM,COK,Not Available,Not Available
IndiGo,S_Kolkata,D_Bangalore,0,4148,12,3,20,25,12,3,23,5,2,40,CCU,BLR,Not Available,Not Available,Not Available
Jet Airways,S_Kolkata,D_Bangalore,1,8355,9,5,10,20,9,5,17,35,7,15,CCU,GAU,BLR,Not Available,Not Available
IndiGo,S_Kolkata,D_Bangalore,0,4148,21,3,17,15,21,3,19,55,2,40,CCU,BLR,Not Available,Not Available,Not Available
Multiple carriers,S_Delhi,D_Cochin,1,10791,27,6,6,0,27,6,12,35,6,35,DEL,BOM,COK,Not Available,Not Available
Jet Airways,S_Delhi,D_Cochin,2,13344,24,6,5,30,24,6,12,35,7,5,DEL,BHO,BOM,COK,Not Available
Jet Airways,S_Bangalore,D_New Delhi,1,11087,12,3,22,55,13,3,12,25,13,30,BLR,BOM,DEL,Not Available,Not Available
Air India,S_Kolkata,D_Bangalore,2,9920,1,4,16,45,2,4,8,55,16,10,CCU,GAU,DEL,BLR,Not Available
GoAir,S_Delhi,D_Cochin,1,5140,27,4,7,25,27,4,13,35,6,10,DEL,AMD,COK,Not Available,Not Available
Multiple carriers,S_Delhi,D_Cochin,1,7408,27,6,8,0,27,6,21,0,13,0,DEL,BOM,COK,Not Available,Not Available
Multiple carriers,S_Delhi,D_Cochin,1,7670,15,5,12,50,16,5,1,30,12,40,DEL,BOM,COK,Not Available,Not Available
Jet Airways,S_Kolkata,D_Bangalore,1,14571,9,6,20,0,10,6,18,15,22,15,CCU,BOM,BLR,Not Available,Not Available
Air India,S_Mumbai,D_Hyderabad,0,4307,12,3,19,30,12,3,20,45,1,15,BOM,HYD,Not Available,Not Available,Not Available
Jet Airways,S_Delhi,D_Cochin,1,12373,9,5,2,15,10,5,4,25,2,10,DEL,BOM,COK,Not Available,Not Available
Jet Airways,S_Kolkata,D_Bangalore,1,14151,18,5,20,25,19,5,9,45,13,20,CCU,DEL,BLR,Not Available,Not Available
Jet Airways,S_Delhi,D_Cochin,2,21219,24,5,11,40,24,5,19,0,7,20,DEL,JDH,BOM,COK,Not Available
Jet Airways,S_Bangalore,D_Delhi,0,5198,18,4,15,15,18,4,18,10,2,55,BLR,DEL,Not Available,Not Available,Not Available
Air India,S_Delhi,D_Cochin,2,12488,27,5,12,20,28,5,19,15,6,55,DEL,LKO,BOM,COK,Not Available
Air India,S_Delhi,D_Cochin,2,8603,18,5,12,0,19,5,7,40,19,40,DEL,JAI,BOM,COK,Not Available
SpiceJet,S_Delhi,D_Cochin,1,5975,9,5,17,55,9,5,22,50,4,55,DEL,BLR,COK,Not Available,Not Available
Jet Airways,S_Delhi,D_Cochin,2,12347,21,3,18,25,23,3,4,25,10,0,DEL,BDQ,BOM,COK,Not Available
SpiceJet,S_Chennai,D_Kolkata,0,3543,27,5,17,45,27,5,20,5,2,20,MAA,CCU,Not Available,Not Available,Not Available
Jet Airways,S_Bangalore,D_Delhi,0,7229,24,4,7,10,24,4,10,10,3,0,BLR,DEL,Not Available,Not Available,Not Available
Jet Airways,S_Delhi,D_Cochin,1,12898,21,5,8,0,21,5,19,0,11,0,DEL,BOM,COK,Not Available,Not Available
Jet Airways,S_Delhi,D_Cochin,2,10919,12,6,6,45,13,6,4,25,21,40,DEL,NAG,BOM,COK,Not Available
Air India,S_Kolkata,D_Bangalore,2,10676,21,5,12,0,22,5,7,55,19,55,CCU,BBI,BOM,BLR,Not Available
Multiple carriers,S_Delhi,D_Cochin,1,9794,21,5,8,45,21,5,19,0,10,15,DEL,BOM,COK,Not Available,Not Available
SpiceJet,S_Kolkata,D_Bangalore,0,3873,21,6,6,55,21,6,9,30,2,35,CCU,BLR,Not Available,Not Available,Not Available
Jet Airways,S_Delhi,D_Cochin,2,10368,1,6,9,40,1,6,19,0,9,20,DEL,JAI,BOM,COK,Not Available
Jet Airways,S_Kolkata,D_Bangalore,1,7064,1,4,8,25,1,4,18,15,9,50,CCU,BOM,BLR,Not Available,Not Available
Jet Airways,S_Delhi,D_Cochin,1,10262,12,6,19,45,13,6,19,0,23,15,DEL,BOM,COK,Not Available,Not Available
Jet Airways,S_Kolkata,D_Bangalore,1,10844,15,5,16,30,16,5,18,15,1,45,CCU,BOM,BLR,Not Available,Not Available
Jet Airways,S_Delhi,D_Cochin,1,14053,9,3,20,50,10,3,18,50,22,0,DEL,BOM,COK,Not Available,Not Available
Jet Airways,S_Bangalore,D_Delhi,0,7229,1,5,11,10,1,5,14,5,2,55,BLR,DEL,Not Available,Not Available,Not Available
IndiGo,S_Bangalore,D_Delhi,0,4990,18,4,13,0,18,4,15,50,2,50,BLR,DEL,Not Available,Not Available,Not Available
Vistara,S_Bangalore,D_New Delhi,0,8028,3,3,7,0,3,3,9,40,2,40,BLR,DEL,Not Available,Not Available,Not Available
Jet Airways,S_Delhi,D_Cochin,1,12373,18,5,17,30,19,5,12,35,19,5,DEL,BOM,COK,Not Available,Not Available
Jet Airways,S_Kolkata,D_Bangalore,1,9899,12,6,14,5,12,6,23,35,9,30,CCU,BOM,BLR,Not Available,Not Available
SpiceJet,S_Kolkata,D_Bangalore,1,10944,18,5,11,15,18,5,18,30,7,15,CCU,IXB,BLR,Not Available,Not Available
IndiGo,S_Bangalore,D_Delhi,0,3419,24,4,1,30,24,4,4,15,2,45,BLR,DEL,Not Available,Not Available,Not Available
Multiple carriers,S_Delhi,D_Cochin,1,13377,27,5,17,30,28,5,1,30,8,0,DEL,BOM,COK,Not Available,Not Available
SpiceJet,S_Mumbai,D_Hyderabad,0,2175,24,3,5,45,24,3,7,5,1,20,BOM,HYD,Not Available,Not Available,Not Available
SpiceJet,S_Delhi,D_Cochin,1,4812,1,4,8,45,1,4,13,15,4,30,DEL,PNQ,COK,Not Available,Not Available
Jet Airways,S_Delhi,D_Cochin,1,12373,18,5,22,50,19,5,4,25,5,35,DEL,BOM,COK,Not Available,Not Available
Multiple carriers,S_Delhi,D_Cochin,1,7670,15,5,6,0,15,5,21,0,15,0,DEL,BOM,COK,Not Available,Not Available
Air India,S_Delhi,D_Cochin,2,13381,24,6,6,50,25,6,7,40,0,50,DEL,CCU,BOM,COK,Not Available
Air India,S_Delhi,D_Cochin,2,8603,12,6,12,0,12,6,19,15,7,15,DEL,JAI,BOM,COK,Not Available
Jet Airways,S_Bangalore,D_New Delhi,1,26890,1,3,22,50,2,3,5,5,6,15,BLR,BOM,DEL,Not Available,Not Available
Jet Airways,S_Delhi,D_Cochin,1,10262,1,6,22,50,2,6,12,35,13,45,DEL,BOM,COK,Not Available,Not Available
Jet Airways,S_Bangalore,D_Delhi,0,7229,18,5,6,0,18,5,8,45,2,45,BLR,DEL,Not Available,Not Available,Not Available
Jet Airways,S_Kolkata,D_Bangalore,1,10703,15,5,9,35,15,5,21,5,11,30,CCU,DEL,BLR,Not Available,Not Available
Vistara,S_Bangalore,D_Delhi,0,4668,12,5,21,0,12,5,23,50,2,50,BLR,DEL,Not Available,Not Available,Not Available
Multiple carriers,S_Delhi,D_Cochin,1,9100,27,3,7,30,27,3,19,15,11,45,DEL,BOM,COK,Not Available,Not Available
Multiple carriers,S_Delhi,D_Cochin,1,13377,27,5,16,0,28,5,1,30,9,30,DEL,BOM,COK,Not Available,Not Available
Jet Airways,S_Bangalore,D_New Delhi,1,7832,21,3,5,45,21,3,15,15,9,30,BLR,BOM,DEL,Not Available,Not Available
IndiGo,S_Chennai,D_Kolkata,0,3540,18,6,5,15,18,6,7,40,2,25,MAA,CCU,Not Available,Not Available,Not Available
Jet Airways,S_Delhi,D_Cochin,1,5177,6,4,2,15,6,4,19,0,16,45,DEL,BOM,COK,Not Available,Not Available
